packet,file_count,supported_file_count,document_type_counts,evidence_role_counts,extension_counts
hershey_company,6,6,"{""pdf_document"": 6}","{""direct_company_evidence"": 6}","{"".pdf"": 6}"
product_sku_1_55oz,5,5,"{""image_or_logo"": 4, ""pdf_document"": 1}","{""unknown"": 1, ""direct_company_evidence"": 4}","{"".png"": 2, "".pdf"": 1, "".webp"": 2}"
cocoa_chocolate_cocoa_butter,16,16,"{""pdf_document"": 15, ""image_or_logo"": 1}","{""supplier_relationship_context"": 5, ""direct_company_evidence"": 3, ""visual_asset"": 1, ""benchmark_proxy"": 6, ""process_or_function_context"": 1}","{"".pdf"": 15, "".svg"": 1}"
dairy_milk_skim_milk_milk_fat,20,20,"{""pdf_document"": 19, ""image_or_logo"": 1}","{""direct_company_evidence"": 3, ""supplier_relationship_context"": 6, ""unknown"": 1, ""benchmark_proxy"": 5, ""process_or_function_context"": 4, ""visual_asset"": 1}","{"".pdf"": 19, "".png"": 1}"
natural_flavor,9,9,"{""pdf_document"": 9}","{""regulatory_definition"": 5, ""unknown"": 1, ""process_or_function_context"": 2, ""benchmark_proxy"": 1}","{"".pdf"": 9}"
packaging_wrapper,8,8,"{""pdf_document"": 8}","{""direct_company_evidence"": 3, ""supplier_relationship_context"": 2, ""benchmark_proxy"": 3}","{"".pdf"": 8}"
pgpr,10,10,"{""pdf_document"": 10}","{""regulatory_definition"": 3, ""process_or_function_context"": 4, ""benchmark_proxy"": 2, ""supplier_relationship_context"": 1}","{"".pdf"": 10}"
soy_lecithin,7,7,"{""pdf_document"": 7}","{""regulatory_definition"": 1, ""process_or_function_context"": 3, ""benchmark_proxy"": 2, ""supplier_relationship_context"": 1}","{"".pdf"": 7}"
sugar,17,17,"{""pdf_document"": 14, ""image_or_logo"": 1, ""csv_table"": 1, ""excel_workbook"": 1}","{""supplier_relationship_context"": 8, ""direct_company_evidence"": 3, ""visual_asset"": 1, ""unknown"": 1, ""benchmark_proxy"": 3, ""process_or_function_context"": 1}","{"".pdf"": 14, "".svg"": 1, "".csv"": 1, "".xlsx"": 1}"
logistics_distribution,16,16,"{""pdf_document"": 11, ""image_or_logo"": 1, ""excel_workbook"": 3, ""csv_table"": 1}","{""direct_company_evidence"": 1, ""supplier_relationship_context"": 3, ""benchmark_proxy"": 4, ""process_or_function_context"": 3, ""visual_asset"": 1, ""unknown"": 4}","{"".pdf"": 11, "".png"": 1, "".xlsx"": 2, "".xls"": 1, "".csv"": 1}"
retail_price_evidence,4,4,"{""pdf_document"": 4}","{""retail_price_evidence"": 4}","{"".pdf"": 4}"
brand_logo_assets,1,1,"{""image_or_logo"": 1}","{""visual_asset"": 1}","{"".png"": 1}"
reference_only,1,1,"{""pdf_document"": 1}","{""reference_only"": 1}","{"".pdf"": 1}"
