doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_CF8C4A1F434C,hershey 1.55 oz page.pdf,product_sku_1_55oz,pdf_document,direct_company_evidence,visual_priority,111,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_CF8C4A1F434C.level1_input.json
DOC_71BF5D9AF123,barry_callebaut_hershey_supply_agreement_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_71BF5D9AF123.level1_input.json
DOC_3C5045700A98,land_o_lakes_hershey_chesapeake_bay_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_3C5045700A98.level1_input.json
DOC_6ECEDE6AFBC2,epa_hershey_land_o_lakes_pa_dairy_farms_2m_commitment.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_6ECEDE6AFBC2.level1_input.json
DOC_1E0944AC1DC5,asr_hershey_learn_to_grow_belize.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1E0944AC1DC5.level1_input.json
DOC_0D21678E3116,cvs_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_0D21678E3116.level1_input.json
DOC_4D6583498B7A,target_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_4D6583498B7A.level1_input.json
DOC_5E90ED0F32AB,walgreens_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_5E90ED0F32AB.level1_input.json
DOC_1F6D46FB75CC,walmart_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,retail_price_evidence,visual_priority,96,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1F6D46FB75CC.level1_input.json
DOC_1082CA3E3F2A,barry_callebaut_hershey_supply_agreement_news_release.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,text_only,94,4,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1082CA3E3F2A.level1_input.json
DOC_3DACF0FBC836,hershey_latest_esg_dairy_section.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,text_plus_page_images,91,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_3DACF0FBC836.level1_input.json
