doc_id,file_name,packet,document_type,evidence_role,text_length,chunk_count,has_text
DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,hershey_company,pdf_document,direct_company_evidence,2728,2,True
DOC_920988DD536E,Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,pdf_document,direct_company_evidence,14,1,True
DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,pdf_document,direct_company_evidence,14,1,True
DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,pdf_document,direct_company_evidence,14,1,True
DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,pdf_document,direct_company_evidence,14,1,True
DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,pdf_document,direct_company_evidence,363048,205,True
DOC_BF1CF5E24E2A,034000002405_3.png,product_sku_1_55oz,image_or_logo,unknown,0,0,False
DOC_CF8C4A1F434C,hershey 1.55 oz page.pdf,product_sku_1_55oz,pdf_document,direct_company_evidence,14,1,True
DOC_D7D512504DFA,hershey unwrapped.png,product_sku_1_55oz,image_or_logo,direct_company_evidence,0,0,False
DOC_35AC43ECE38F,Hershey back.webp,product_sku_1_55oz,image_or_logo,direct_company_evidence,0,0,False
DOC_463FD3B8EDC9,Hershey Front.webp,product_sku_1_55oz,image_or_logo,direct_company_evidence,0,0,False
DOC_3A67DADA572A,barry_callebaut_annual_report_or_full_year_results_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,404679,228,True
DOC_1EC92FF65460,barry_callebaut_company_profile.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,14,1,True
DOC_1082CA3E3F2A,barry_callebaut_hershey_supply_agreement_news_release.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,7316,4,True
DOC_71BF5D9AF123,barry_callebaut_hershey_supply_agreement_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,14,1,True
DOC_444A249CB5CF,barry_callebaut_social_environmental_impact_report_2024_25.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,271677,155,True
DOC_C87C22CB90A7,Cocoa-The-Hershey-Company-05-06-2026_02_25_PM.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,14,1,True
DOC_8F85C09572BC,hershey_cocoa_for_good_strategy.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,14,1,True
DOC_260B1720A1EF,hershey_cocoa_sustainability_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,direct_company_evidence,14,1,True
DOC_E37A29B6C990,barry_logo.svg,cocoa_chocolate_cocoa_butter,image_or_logo,visual_asset,0,0,False
DOC_F976C0BE2B9A,usda_fas_cote_divoire_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,40024,23,True
DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,44757,25,True
DOC_FD5AB5AB5E8F,icco_cocoa_statistics_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,14,1,True
DOC_08137C490006,ice_cocoa_futures_optional_screenshot.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,14,1,True
DOC_B3858C187B41,cocoa_beans_quality_requirements_processing_guide.pdf,cocoa_chocolate_cocoa_butter,pdf_document,process_or_function_context,252539,145,True
DOC_2D8BE31DFAC8,icco_cocoa_butter_powder_faq.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,5535,3,True
DOC_1E80FF9B816E,icco_processing_cocoa_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,benchmark_proxy,14,1,True
DOC_3FF97ACFA90D,hershey_dairy_sourcing_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,14,1,True
DOC_3DACF0FBC836,hershey_latest_esg_dairy_section.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,252523,140,True
DOC_75DA5EE841E9,hershey_sustainable_dairy_pa_2021_press_release.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,direct_company_evidence,14,1,True
DOC_DC5C9E72C77A,land_o_lakes_2025_annual_report.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,44859,28,True
