doc_id,file_name,packet,document_type,ocr_needed,image_count,pages_ocr_attempted,pages_ocr_success,total_visual_ocr_text_length,total_visual_ocr_chunks,visual_ocr_json_path,combined_visual_ocr_text_path
DOC_01971A613130,WPU09150336.csv,logistics_distribution,csv_table,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_01971A613130.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_01971A613130.visual_ocr.txt
DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,pdf_document,True,1,1,1,5841,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_02F4A4A84A57.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_02F4A4A84A57.visual_ocr.txt
DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,pdf_document,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_033AA20F1EE1.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_033AA20F1EE1.visual_ocr.txt
DOC_050BBCAC6B3F,mclane_company_profile.pdf,logistics_distribution,pdf_document,True,1,1,1,3169,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_050BBCAC6B3F.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_050BBCAC6B3F.visual_ocr.txt
DOC_08137C490006,ice_cocoa_futures_optional_screenshot.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,3419,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_08137C490006.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_08137C490006.visual_ocr.txt
DOC_0C6FF4D0AACE,mclane_grocery_retail_distribution_page.pdf,logistics_distribution,pdf_document,True,1,1,1,2433,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0C6FF4D0AACE.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0C6FF4D0AACE.visual_ocr.txt
DOC_0CCBAF9E6D49,ASR_Group_logo.svg,sugar,image_or_logo,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0CCBAF9E6D49.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0CCBAF9E6D49.visual_ocr.txt
DOC_0D21678E3116,cvs_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,True,1,1,1,965,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0D21678E3116.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0D21678E3116.visual_ocr.txt
DOC_0DD09547ACD4,natural_flavor_extraction_distillation_fermentation_explanation.pdf,natural_flavor,pdf_document,True,1,1,1,2742,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0DD09547ACD4.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0DD09547ACD4.visual_ocr.txt
DOC_0E5990AC3AEF,asr_belize_sugar_industries_page.pdf,sugar,pdf_document,True,1,1,1,2146,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0E5990AC3AEF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_0E5990AC3AEF.visual_ocr.txt
DOC_101588EC345D,fda_pgpr_gras_response_letter.pdf,pgpr,pdf_document,False,4,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_101588EC345D.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_101588EC345D.visual_ocr.txt
DOC_1082CA3E3F2A,barry_callebaut_hershey_supply_agreement_news_release.pdf,cocoa_chocolate_cocoa_butter,pdf_document,False,3,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1082CA3E3F2A.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1082CA3E3F2A.visual_ocr.txt
DOC_1164AEC6C38C,natural_flavor_function_in_food_explanation.pdf,natural_flavor,pdf_document,True,1,1,1,4377,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1164AEC6C38C.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1164AEC6C38C.visual_ocr.txt
DOC_11A00D6495C0,PCU49314931.xlsx,logistics_distribution,excel_workbook,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_11A00D6495C0.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_11A00D6495C0.visual_ocr.txt
DOC_12314C1C49CF,interim_gras_33_apr_2026.pdf,natural_flavor,pdf_document,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_12314C1C49CF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_12314C1C49CF.visual_ocr.txt
DOC_1BE15D0DAB2F,castor_oil_ricinoleic_acid_pgpr_origin_reference.pdf,pgpr,pdf_document,True,1,1,1,21787,12,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1BE15D0DAB2F.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1BE15D0DAB2F.visual_ocr.txt
DOC_1D4C129E0BD4,fda_flavor_labeling_regulation_reference.pdf,natural_flavor,pdf_document,True,1,1,1,228,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1D4C129E0BD4.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1D4C129E0BD4.visual_ocr.txt
DOC_1E0944AC1DC5,asr_hershey_learn_to_grow_belize.pdf,sugar,pdf_document,True,1,1,1,3098,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1E0944AC1DC5.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1E0944AC1DC5.visual_ocr.txt
DOC_1E80FF9B816E,icco_processing_cocoa_page.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,7681,4,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1E80FF9B816E.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1E80FF9B816E.visual_ocr.txt
DOC_1EB5146FBACE,bls_truck_transportation_ppi_benchmark.pdf,logistics_distribution,pdf_document,True,1,1,1,883,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1EB5146FBACE.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1EB5146FBACE.visual_ocr.txt
DOC_1EC92FF65460,barry_callebaut_company_profile.pdf,cocoa_chocolate_cocoa_butter,pdf_document,True,1,1,1,4857,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1EC92FF65460.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1EC92FF65460.visual_ocr.txt
DOC_1ED749BEB0B8,pulp-and-paper-sourcing-policy.pdf,packaging_wrapper,pdf_document,False,3,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1ED749BEB0B8.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1ED749BEB0B8.visual_ocr.txt
DOC_1F6D46FB75CC,walmart_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,True,1,1,1,4494,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1F6D46FB75CC.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_1F6D46FB75CC.visual_ocr.txt
DOC_23BD14F34CEF,pgpr_market_price_reference.pdf,pgpr,pdf_document,True,1,1,1,1354,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_23BD14F34CEF.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_23BD14F34CEF.visual_ocr.txt
