unified_chunk_id,doc_id,file_name,packet,source_type,document_type,text_length,word_count,usefulness_class,companies,ingredients,claim_terms,sku_terms,cost_terms
UCHUNK_000001,DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,hershey_company,text_or_table,pdf_document,2188,484,low_background,,,,,
UCHUNK_000002,DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,hershey_company,text_or_table,pdf_document,698,148,low_background,,,,,
UCHUNK_000003,DOC_920988DD536E,Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,text_or_table,pdf_document,14,4,low_short_text,,,,,
UCHUNK_000004,DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,text_or_table,pdf_document,14,4,low_short_text,,,,,
UCHUNK_000005,DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,text_or_table,pdf_document,14,4,low_short_text,,,,,
UCHUNK_000006,DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,text_or_table,pdf_document,14,4,low_short_text,,,,,
UCHUNK_000007,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,349,low_background,,,,,
UCHUNK_000008,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,339,low_background,,,,,
UCHUNK_000009,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,329,low_background,,,,,
UCHUNK_000010,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1656,257,low_background,,,,,
UCHUNK_000011,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,334,low_background,,,,,
UCHUNK_000012,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,344,low_background,,,,,
UCHUNK_000013,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1628,254,low_background,,,,,
UCHUNK_000014,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,337,low_background,,,,,
UCHUNK_000015,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,309,low_background,,,,,
UCHUNK_000016,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1891,265,low_background,,,,,
UCHUNK_000017,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2198,341,low_background,,,,,
UCHUNK_000018,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2198,334,low_background,,,,,
UCHUNK_000019,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1502,234,low_background,,,,,
UCHUNK_000020,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,317,low_background,,,,,
UCHUNK_000021,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2188,322,low_background,,,,,
UCHUNK_000022,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,314,low_background,,,,,
UCHUNK_000023,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,298,low_background,,,,,
UCHUNK_000024,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,307,low_background,,,,,
UCHUNK_000025,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1809,273,low_background,,,,,
UCHUNK_000026,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,332,low_background,,,,,
UCHUNK_000027,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,350,low_background,,,,,
UCHUNK_000028,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1733,256,low_background,,,,,
UCHUNK_000029,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,323,low_background,,,,,
UCHUNK_000030,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,344,low_background,,,,,
UCHUNK_000031,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,349,low_background,,,,,
UCHUNK_000032,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,331,low_background,,,,,
UCHUNK_000033,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1541,218,low_background,,,,,
UCHUNK_000034,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,312,low_background,,,,,
UCHUNK_000035,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,335,low_background,,,,,
UCHUNK_000036,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,320,low_background,,,,,
UCHUNK_000037,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2019,296,low_background,,,,,
UCHUNK_000038,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1936,305,low_background,,,,,
UCHUNK_000039,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2055,326,low_background,,,,,
UCHUNK_000040,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1413,218,low_background,,,,,
UCHUNK_000041,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,334,low_background,,,,,
UCHUNK_000042,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2172,318,low_background,,,,,
UCHUNK_000043,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,350,low_background,,,,,
UCHUNK_000044,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,334,low_background,,,,,
UCHUNK_000045,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,324,low_background,,,,,
UCHUNK_000046,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,328,low_background,,,,,
UCHUNK_000047,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,320,low_background,,,,,
UCHUNK_000048,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,332,low_background,,,,,
UCHUNK_000049,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,340,low_background,,,,,
UCHUNK_000050,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2161,313,low_background,,,,,
UCHUNK_000051,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,316,low_background,,,,,
UCHUNK_000052,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,321,low_background,,,,,
UCHUNK_000053,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,330,low_background,,,,,
UCHUNK_000054,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1473,225,low_background,,,,,
UCHUNK_000055,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,333,low_background,,,,,
UCHUNK_000056,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,334,low_background,,,,,
UCHUNK_000057,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1944,285,low_background,,,,,
UCHUNK_000058,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,313,low_background,,,,,
UCHUNK_000059,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,334,low_background,,,,,
UCHUNK_000060,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1713,258,low_background,,,,,
UCHUNK_000061,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,337,low_background,,,,,
UCHUNK_000062,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,341,low_background,,,,,
UCHUNK_000063,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,348,low_background,,,,,
UCHUNK_000064,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1804,278,low_background,,,,,
UCHUNK_000065,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,342,low_background,,,,,
UCHUNK_000066,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2198,335,low_background,,,,,
UCHUNK_000067,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1874,291,low_background,,,,,
UCHUNK_000068,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,313,low_background,,,,,
UCHUNK_000069,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,324,low_background,,,,,
UCHUNK_000070,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,324,low_background,,,,,
UCHUNK_000071,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,321,low_background,,,,,
UCHUNK_000072,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,325,low_background,,,,,
UCHUNK_000073,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1435,206,low_background,,,,,
UCHUNK_000074,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,335,low_background,,,,,
UCHUNK_000075,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1330,208,low_background,,,,,
UCHUNK_000076,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,315,low_background,,,,,
UCHUNK_000077,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,306,low_background,,,,,
UCHUNK_000078,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,310,low_background,,,,,
UCHUNK_000079,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,328,low_background,,,,,
UCHUNK_000080,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,322,low_background,,,,,
UCHUNK_000081,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,340,low_background,,,,,
UCHUNK_000082,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2198,314,low_background,,,,,
UCHUNK_000083,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2130,307,low_background,,,,,
UCHUNK_000084,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,309,low_background,,,,,
UCHUNK_000085,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,312,low_background,,,,,
UCHUNK_000086,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1365,199,low_background,,,,,
UCHUNK_000087,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,313,low_background,,,,,
UCHUNK_000088,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,326,low_background,,,,,
UCHUNK_000089,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2199,322,low_background,,,,,
UCHUNK_000090,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2198,320,low_background,,,,,
UCHUNK_000091,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1798,278,low_background,,,,,
UCHUNK_000092,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,327,low_background,,,,,
UCHUNK_000093,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,303,low_background,,,,,
UCHUNK_000094,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,320,low_background,,,,,
UCHUNK_000095,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1828,279,low_background,,,,,
UCHUNK_000096,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2063,316,low_background,,,,,
UCHUNK_000097,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,367,low_background,,,,,
UCHUNK_000098,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,369,low_background,,,,,
UCHUNK_000099,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2052,333,low_background,,,,,
UCHUNK_000100,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1688,304,low_background,,,,,
UCHUNK_000101,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,392,low_background,,,,,
UCHUNK_000102,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2103,334,low_background,,,,,
UCHUNK_000103,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,1908,288,low_background,,,,,
UCHUNK_000104,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,text_or_table,pdf_document,2200,333,low_background,,,,,
