term,document_frequency_ranked_count,global_vector_weight
000,318,21.549766
100,354,20.727504
2021,325,22.301223
2022,263,15.793795
2023,766,39.405283
2024,612,31.802495
2025,403,23.871869
2026,,13.509961
across,368,19.015027
action,195,13.372568
addition,213,0.0
agriculture,238,13.47369
annual,453,21.909546
answer,,15.754365
approach,222,13.664176
areas,207,0.0
asr,,22.165087
assessment,224,14.411659
available,286,14.926228
barry,329,27.497524
barry_callebaut,321,13.722447
based,527,23.660881
beans,204,18.972956
been,379,18.257224
being,259,14.211674
best,196,0.0
between,244,12.909559
board,,14.920648
both,286,14.645449
business,631,29.353974
callebaut,330,27.527206
cfr,,19.442261
chain,617,30.843424
change,272,15.724704
chf,,15.094456
child,,13.558107
children,,15.173081
chocolate,414,31.835609
climate,230,18.625622
cocoa,865,63.603583
communities,289,18.911508
community,626,29.56128
company,755,43.795264
compliance,210,14.579937
contents,383,19.38807
continue,230,13.930166
continued,195,0.0
dairy,250,17.899736
deforestation,,13.625423
development,296,16.404237
does,226,0.0
due,257,14.067703
during,285,14.660768
efforts,232,13.119769
emissions,203,17.721689
employee,308,18.113136
employees,346,25.856768
end,210,0.0
energy,,12.979986
engagement,274,15.516569
ensure,235,13.630097
environment,521,25.383996
environmental,329,18.471238
esg,501,27.944905
executive,250,15.183359
farm,209,14.256451
farmers,275,20.585073
fat,,14.962896
financial,339,20.582982
first,207,0.0
following,309,14.386572
food,625,36.143159
foods,212,13.934281
free,277,16.660505
further,254,13.140493
future,244,13.673738
global,406,21.755688
good,460,23.191996
governance,468,21.517107
group,522,34.036951
health,292,17.888013
help,255,13.699419
hershey,680,64.294237
high,327,17.205403
highlights,208,0.0
how,326,17.108652
however,202,0.0
human,630,32.344864
impact,420,23.364986
improve,220,0.0
include,332,15.578569
included,213,0.0
includes,239,13.29872
including,518,22.941148
income,218,16.752982
industry,402,20.330708
ingredient,,14.857025
ingredients,326,24.205976
international,253,14.661042
issues,212,15.265954
key,335,18.027609
label,,14.159896
labor,201,18.042672
land,,17.980912
less,233,15.129657
letter,321,15.514124
level,330,17.763981
local,241,14.040472
long,277,15.64746
made,267,13.898229
make,235,13.026964
making,427,20.951783
management,411,23.383319
manufacturing,227,14.503102
market,370,22.048624
material,342,19.448894
materials,258,15.471685
meet,219,0.0
members,,13.102202
milk,228,26.86833
million,285,20.384253
most,320,15.871833
must,252,16.985341
nan,,12.866686
new,520,23.96609
non,350,18.381526
number,242,13.544638
nutrition,209,21.929727
oil,,14.944768
one,433,19.785301
only,286,13.917194
operations,308,16.981862
opportunities,213,0.0
out,255,12.888979
over,323,16.630021
overview,216,0.0
packaging,238,25.324679
part,357,17.586233
people,637,30.926101
per,337,22.303121
pgpr,,13.317136
plant,208,14.058846
policies,239,15.029631
potential,224,0.0
practices,331,18.612802
price,,17.656656
prices,,13.5188
process,252,14.593644
product,501,26.015726
production,321,19.470687
products,630,30.823393
program,392,23.910805
programs,260,14.937727
progress,260,17.120034
provide,241,0.0
provided,225,12.889309
quality,406,23.487219
raw,233,14.631046
reduce,222,13.939938
related,347,18.658483
reporting,300,16.757146
reports,270,13.247358
required,241,14.616989
requirements,380,19.604185
responsible,554,29.281658
responsible_sourcing,463,19.030333
results,203,0.0
retail,,14.011139
risk,352,24.172306
risks,245,17.506889
safety,232,17.115817
scope,,15.550014
see,379,18.466685
shall,,19.02425
share,201,13.357
shareholders,198,12.867504
should,217,13.765906
significant,222,0.0
since,254,13.365509
size,197,14.072599
social,305,17.395417
some,240,0.0
sourcing,581,38.741477
specific,209,0.0
stakeholders,230,14.194198
standards,279,16.821306
statement,223,15.630938
strategy,380,20.092594
sugar,265,26.34037
supplier,215,20.529703
suppliers,286,21.382087
supply,655,31.76921
supply_chain,529,19.804167
support,390,20.399902
sustainability,515,29.553995
sustainable,427,26.411008
team,199,0.0
term,307,18.102538
there,274,14.015743
these,648,27.302486
those,237,0.0
three,215,0.0
through,598,27.042091
time,309,16.518802
total,425,23.139956
training,,14.367057
two,251,13.578737
under,331,16.699261
value,482,23.588277
water,243,19.350079
well,440,20.650771
what,261,14.95075
when,350,18.168047
where,413,19.62254
which,769,29.546662
while,288,14.451583
who,237,13.074658
within,292,14.831913
work,383,20.895056
working,234,0.0
world,259,14.468093
year,593,28.574475
years,284,15.258928
youth,438,22.800274
